ID,Name,Sales,Target_Quantity,Target_Email,Status,Region,Timestamp
T3001,Product Alpha,125,5,alpha@test.com,ACTIVE,North,2026-08-16 10:00:00
T3002,Product Beta,250,10,beta@test.com,ACTIVE,South,2026-08-16 10:01:00
T3003,Product Gamma,375,15,gamma@test.com,INACTIVE,East,2026-08-16 10:02:00
T3004,Product Delta,500,20,delta@test.com,ACTIVE,West,2026-08-16 10:03:00
T3005,Product Epsilon,625,25,epsilon@test.com,ACTIVE,Central,2026-08-16 10:04:00
T3006,Product Zeta,750,30,zeta@test.com,INACTIVE,North,2026-08-16 10:05:00
T3007,Product Eta,875,35,eta@test.com,ACTIVE,South,2026-08-16 10:06:00
T3008,Product Theta,1000,40,theta@test.com,ACTIVE,East,2026-08-16 10:07:00
T3009,Product Iota,1125,45,iota@test.com,ACTIVE,West,2026-08-16 10:08:00
T3010,Product Kappa,1250,50,kappa@test.com,INACTIVE,Central,2026-08-16 10:09:00
