ID,Name,Sales,Quantity,Email,Status,Region,Event_Date,Legacy_Code
A001,Product Alpha,100,10,alpha@test.com,ACTIVE,North,2026-08-01,LEG-A
A002,Product Alpha Plus,200,20,alpha.plus@test.com,ACTIVE,North,2026-08-02,LEG-B
B001,Product Beta,300,30,beta@test.com,ACTIVE,South,2026-08-03,LEG-C
C001,Product Gamma,400,40,gamma@test.com,ACTIVE,East,2026-08-04,LEG-D1
C001,Product Gamma Duplicate,450,45,gamma.duplicate@test.com,ACTIVE,East,2026-08-04,LEG-D2
D001,Product Delta,500,50,delta@test.com,ACTIVE,West,2026-08-05,LEG-E
,Product Echo,600,60,echo@test.com,ACTIVE,Central,2026-08-06,LEG-F
F001,Product Foxtrot,700,70,foxtrot@test.com,ACTIVE,North,2026-08-07,LEG-G
G001,Product Golf,800,80,,ACTIVE,South,2026-08-08,LEG-H
H001,Product Hotel,900,90,hotel@test.com,ACTIVE,East,2026-08-09,LEG-I
I001,Product India,1000,100,india@test.com,ACTIVE,West,2026-08-10,LEG-J
,Product Juliett,1100,110,juliett@test.com,ACTIVE,Central,2026-08-11,LEG-K
K001,Product Kilo,1200,120,kilo@test.com,ACTIVE,North,2026-08-12,LEG-L
L001,Product Lima,1300,130,lima@test.com,ACTIVE,South,2026-08-13,LEG-M
M001,Product Mike,1400,,mike@test.com,ACTIVE,East,2026-08-14,LEG-N
N001,Product November,1500,-5,november@test.com,ACTIVE,West,2026-08-15,LEG-O
O001,Product Oscar,1600,160,oscar@test.com,ACTIVE,Central,2026-08-16,LEG-P
,Café Product,1700,170,cafe@test.com,ACTIVE,North,2026-08-17,LEG-Q
Q001,Product Quebec,1800.50,180.5,quebec@test.com,ACTIVE,South,2026-08-18,LEG-R
R001,Product Romeo,1900,190,romeo@test.com,ACTIVE,East,2026-08-19,LEG-S
N333,Product November,1500,150,november@test.com,ACTIVE,West,2026-08-15,2026-08-20 11:05:00,1

