ID,Name,Sales,Quantity,Target_Email,Status,Region
A001,Product A,100,10,a@test.com,ACTIVE,North
A002,Product A,200,20,a@test.com,ACTIVE,North
B900,Product B,500,50,b@test.com,ACTIVE,South
,Product C,600,60,c@test.com,INACTIVE,East
D900,Product D Target,750,70,d.target@test.com,ACTIVE,West
E901,Product E,800,80,e@test.com,ACTIVE,North
E902,Product E,820,82,e@test.com,ACTIVE,North
F900,Product F,900,90,,ACTIVE,South
H001,Product H,1100,110,h@test.com,ACTIVE,East
I001,Product I,150,15,i@test.com,ACTIVE,Central
I002,Product I,250,25,i@test.com,ACTIVE,Central
J_TGT,Product J,450,45,j@test.com,ACTIVE,North
J_TGT2,Product J,550,55,j@test.com,ACTIVE,North
K001,Product K,1000,100,k@test.com,ACTIVE,West
K002,Product K,1200,120,k@test.com,ACTIVE,West
